T	h	u	s	pr	vr
940	977.92	708.08	2.89748	89.28	30.22
960	1000.55	725.02	2.92128	97	28.4
980	1023.25	741.98	2.94468	105.2	26.73
1000	1046.04	758.94	2.9677	114	25.17
1020	1068.89	776.1	2.99034	123.4	23.72
1040	1091.85	793.36	3.0126	133.3	22.39
1060	1114.86	810.62	3.03449	143.9	21.14
1080	1137.89	827.88	3.05608	155.2	19.98
1100	1161.07	845.33	3.07732	167.1	18.896
1120	1184.28	862.79	3.09825	179.7	17.886
1140	1207.57	880.35	3.11883	193.1	16.946
1160	1230.92	897.91	3.13916	207.2	16.064
1180	1254.34	915.57	3.15916	222.2	15.241
1200	1277.79	933.33	3.17888	238	14.47
1220	1301.31	951.09	3.19834	254.7	13.747
1240	1324.93	968.95	3.21751	272.3	13.069
1260	1348.55	986.9	3.23638	290.8	12.435
1280	1372.24	1004.76	3.2551	310.4	11.835
1300	1395.97	1022.82	3.27345	330.9	11.275
1320	1419.76	1040.88	3.2916	352.5	10.747
1340	1443.6	1058.94	3.30959	375.3	10.247
1360	1467.49	1077.1	3.32724	399.1	9.78
1380	1491.44	1095.26	3.34474	424.2	9.337
1400	1515.42	1113.52	3.362	450.5	8.919
1420	1539.44	1131.77	3.37901	478	8.526
1440	1563.51	1150.13	3.39586	506.9	8.153
1460	1587.63	1168.49	3.41247	537.1	7.801
1480	1611.79	1186.95	3.42892	568.8	7.468
1500	1635.97	1205.41	3.44516	601.9	7.152
1520	1660.23	1223.87	3.4612	636.5	6.854
1540	1684.51	1242.43	3.47712	672.8	6.569
1560	1708.82	1260.99	3.49276	710.5	6.301
1580	1733.17	1279.65	3.50829	750	6.046
1600	1757.57	1298.3	3.52364	791.2	5.804
1620	1782	1316.96	3.53879	834.1	5.574
1640	1806.46	1335.72	3.55381	878.9	5.355
1660	1830.96	1354.48	3.56867	925.6	5.147
1680	1855.5	1373.24	3.58335	974.2	4.949
1700	1880.1	1392.7	3.5979	1025	4.761
1750	1941.6	1439.8	3.6336	1161	4.328
1800	2003.3	1487.2	3.6684	1310	3.944
1850	2065.3	1534.9	3.7023	1475	3.601
1900	2127.4	1582.6	3.7354	1655	3.295
1950	2189.7	1630.6	3.7677	1852	3.022
2000	2252.1	1678.7	3.7994	2068	2.776
2050	2314.6	1726.8	3.8303	2303	2.555
2100	2377.4	1775.3	3.8605	2559	2.356
2150	2440.3	1823.8	3.8901	2837	2.175
2200	2503.2	1872.4	3.9191	3138	2.012
2250	2566.4	1921.3	3.9474	3464	1.864
